original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
97262,Perfeito....chegou antes do prazo.....,perfeito....chegou antes do prazo.....,"['perfeito', 'chegou', 'antes', 'do', 'prazo']",1.0,5,1,1
72931,Foi uma ótima compra! Chegou antes mesmo do prazo e o produto é igual o que estava no anúncio. Correspondeu as expectativas!,foi uma otima compra! chegou antes mesmo do prazo e o produto e igual o que estava no anuncio. correspondeu as expectativas!,"['foi', 'uma', 'otima', 'compra', 'chegou', 'antes', 'mesmo', 'do', 'prazo', 'produto', 'igual', 'que', 'estava', 'no', 'anuncio', 'correspondeu', 'as', 'expectativas']",1.0,5,1,1
19659,Recebi muito rapido e um otimo custo beneficio,recebi muito rapido e um otimo custo beneficio,"['recebi', 'muito', 'rapido', 'um', 'otimo', 'custo', 'beneficio']",1.0,5,1,1
43054,Recomendo,recomendo,['recomendo'],1.0,5,1,1
59202,"Só veio uma capa comprei 3 aí paguei. Mais de 100 reais por uma capa
","so veio uma capa comprei 3 ai paguei. mais de 100 reais por uma capa
","['so', 'veio', 'uma', 'capa', 'comprei', 'ai', 'paguei', 'mais', 'de', '100', 'reais', 'por', 'uma', 'capa']",0.0,1,1,1
39669,O produto foi entregue em tempo mas ao tirar do pacote e abrir quebrou.,o produto foi entregue em tempo mas ao tirar do pacote e abrir quebrou.,"['produto', 'foi', 'entregue', 'em', 'tempo', 'mas', 'ao', 'tirar', 'do', 'pacote', 'abrir', 'quebrou']",,3,-1,1
40625,tudo conforme combinado,tudo conforme combinado,"['tudo', 'conforme', 'combinado']",1.0,5,1,1
4065,Tudo ok!,tudo ok!,"['tudo', 'ok']",1.0,5,1,1
55827,Muito boa gostei obrigado,muito boa gostei obrigado,"['muito', 'boa', 'gostei', 'obrigado']",1.0,4,1,1
34639,Tudo dentro do normal. nada de excepcional.,tudo dentro do normal. nada de excepcional.,"['tudo', 'dentro', 'do', 'normal', 'nada', 'de', 'excepcional']",1.0,4,1,1
